avg_rating,median_rating,rating_std,num_ratings,rating_distribution,vader_compound_mean,vader_compound_std,vader_positive_mean,vader_negative_mean,vader_neutral_mean,textblob_polarity_mean,textblob_polarity_std,num_reviews_with_text,title,rotten_tomatoes_slug
2.3,1.75,1.7421251390184347,20,"{""5.0"": 3, ""1.0"": 2, ""0.5"": 7, ""3.5"": 2, ""4.0"": 3, ""3.0"": 1, ""2.0"": 1, ""1.5"": 1}",0.17686,0.6519658161284225,0.1723,0.15265,0.6750499999999999,0.10048977557530189,0.2840187531020685,20,The Kissing Booth,the_kissing_booth
2.025,1.75,1.3083864108129526,20,"{""1.0"": 4, ""3.0"": 3, ""1.5"": 2, ""5.0"": 1, ""3.5"": 2, ""0.5"": 4, ""2.5"": 1, ""2.0"": 2, ""4.0"": 1}",0.25358,0.5125480656484814,0.196,0.095,0.7091000000000001,0.1184625877805903,0.25069185747207373,20,The Kissing Booth 2,the_kissing_booth_2
2.75,2.75,0.25,2,"{""3.0"": 1, ""2.5"": 1}",0.90405,0.08015,0.306,0.0285,0.665,0.15773809523809526,0.007738095238095211,2,Untold: Malice at the Palace,christmas_at_the_palace
2.6,2.0,1.8681541692269406,20,"{""0.5"": 5, ""1.5"": 1, ""2.0"": 2, ""1.0"": 3, ""5.0"": 6, ""3.5"": 2, ""4.0"": 1}",0.0020400000000000084,0.7124398791477075,0.1802,0.11845000000000001,0.7014500000000001,0.1580389072489528,0.32911963477297834,20,Sweet Girl,sweet_girl
3.175,3.0,1.5022899187573615,20,"{""3.0"": 4, ""5.0"": 6, ""2.5"": 2, ""3.5"": 2, ""1.0"": 1, ""2.0"": 1, ""4.0"": 1, ""0.5"": 2, ""1.5"": 1}",0.41807,0.5566054384391156,0.2683,0.06475,0.66695,0.20072988394584143,0.3331094752158349,20,The Loud House Movie,the_loud_house_movie
3.65,4.0,1.2359207094308275,20,"{""3.5"": 3, ""0.5"": 1, ""5.0"": 5, ""4.5"": 2, ""1.5"": 1, ""3.0"": 2, ""2.0"": 1, ""4.0"": 4, ""2.5"": 1}",0.35843499999999995,0.4674796308664154,0.24899999999999997,0.1045,0.6466500000000001,0.229057311395202,0.22185224114234445,20,The Secret Life of Pets,the_secret_life_of_pets
3.825,3.75,1.132199187422425,20,"{""1.5"": 1, ""3.5"": 4, ""4.0"": 2, ""5.0"": 8, ""2.0"": 2, ""3.0"": 3}",0.48346999999999996,0.4528380572566754,0.2865,0.0523,0.66115,0.2749452110389611,0.20985063005735347,20,The Girl Next Door,1130343-girl_next_door
3.775,4.5,1.4359230480774379,20,"{""4.5"": 2, ""3.0"": 5, ""5.0"": 9, ""0.5"": 1, ""3.5"": 1, ""1.5"": 1, ""1.0"": 1}",0.292165,0.5420079411549243,0.2225,0.060750000000000005,0.7168499999999999,0.21288683712121217,0.3612104107002999,20,Alvin and the Chipmunks: Chipwrecked,alvin_and_the_chipmunks_chipwrecked_2011
2.4,1.75,1.793042107704111,20,"{""3.0"": 3, ""2.0"": 1, ""5.0"": 5, ""1.0"": 4, ""0.5"": 5, ""4.0"": 1, ""1.5"": 1}",0.249295,0.6579370186233634,0.1723,0.13265,0.6951,0.05784178734625166,0.375481620905587,20,He's All That,hes_all_that
2.525,2.5,1.4788086421170252,20,"{""1.0"": 4, ""0.5"": 2, ""2.0"": 2, ""2.5"": 3, ""3.0"": 3, ""5.0"": 2, ""4.5"": 3, ""1.5"": 1}",0.0043599999999999915,0.6026599790926888,0.15835000000000002,0.16060000000000002,0.6809499999999999,0.05086150316796869,0.2968652725959969,20,SAS: Rise of the Black Swan,sas_red_notice
2.525,2.0,1.3736356867816155,20,"{""2.0"": 4, ""1.5"": 3, ""0.5"": 2, ""4.5"": 2, ""3.0"": 2, ""3.5"": 2, ""4.0"": 2, ""5.0"": 1, ""1.0"": 2}",-0.032645,0.6472781515507843,0.1323,0.11435,0.75345,0.05680810047403837,0.35432668628332764,20,The Old Ways,the_old_ways_2020
4.0,4.25,1.0954451150103321,20,"{""4.0"": 5, ""3.5"": 2, ""4.5"": 5, ""5.0"": 5, ""2.0"": 1, ""0.5"": 1, ""3.0"": 1}",0.40054500000000004,0.44536997033365416,0.23775000000000004,0.05295,0.7093499999999999,0.39996628787878785,0.32106574854729925,20,The Witcher: Nightmare of the Wolf,the_witcher_nightmare_of_the_wolf
2.225,2.25,1.35531361684298,20,"{""0.5"": 4, ""1.0"": 3, ""2.0"": 2, ""5.0"": 1, ""1.5"": 1, ""3.5"": 3, ""2.5"": 2, ""3.0"": 3, ""4.5"": 1}",0.36787500000000006,0.5039291972837058,0.18829999999999997,0.10155,0.71025,0.17476000272875272,0.3033539807853535,20,Tomb Raider,tomb_raider_2018
3.825,4.0,1.3160072188251857,20,"{""5.0"": 8, ""0.5"": 1, ""4.0"": 4, ""2.0"": 1, ""4.5"": 1, ""3.5"": 1, ""3.0"": 2, ""1.5"": 1, ""2.5"": 1}",0.47534,0.5739242105017003,0.3043,0.061250000000000006,0.63445,0.2849443009641873,0.22265601300729973,20,Afterlife of the Party,afterlife_of_the_party
3.96875,5.0,1.575880210390371,16,"{""3.5"": 1, ""5.0"": 9, ""0.5"": 1, ""1.0"": 2, ""4.0"": 2, ""4.5"": 1}",0.75628125,0.44515851701774445,0.287625,0.07575,0.6368750000000001,0.26282273806860323,0.17179977703990437,16,Worth,worth_the_wait
3.2,3.5,1.5280706789936125,20,"{""0.5"": 1, ""5.0"": 6, ""2.0"": 2, ""3.5"": 3, ""1.0"": 2, ""3.0"": 2, ""4.0"": 2, ""1.5"": 2}",0.5458000000000001,0.42439367926490135,0.26075,0.05355,0.6856500000000001,0.29651908195448723,0.34352138429245344,20,Welcome Home Roscoe Jenkins,welcome_home_roscoe_jenkins
