week,hours_viewed_sum,hours_viewed_mean,hours_viewed_std,hours_viewed_min,hours_viewed_max,weeks_in_top10_mean,ranking_nunique,avg_rating_mean,rating_std_mean,num_ratings_sum,vader_compound_mean_mean,vader_positive_mean_mean,vader_negative_mean_mean,textblob_polarity_mean_mean,num_reviews_with_text_sum,total_hours_next_week,hours_pct_change,engagement_decline,year,month,week_of_year,hours_lag_1,sentiment_lag_1,hours_lag_2,sentiment_lag_2,hours_lag_3,sentiment_lag_3,hours_lag_4,sentiment_lag_4,hours_ma_4week,sentiment_ma_4week
2022-04-17,115640000,11564000.0,8996011.708900044,5750000,35900000,2.7,10,3.3383333333333334,1.1615942322152506,195,0.271342,0.20827833333333334,0.10204166666666667,0.1853632415480396,195,85380000.0,-0.26167416118989967,1,2022,4,15,95600000.0,0.2842268333333333,95910000.0,0.3304604230769231,122320000.0,0.3868065,175830000.0,0.40374,107367500.0,0.3182089391025641
2022-04-24,85380000,8538000.0,3381655.7417270546,4920000,15260000,4.1,10,2.8875,1.2370994559801711,195,0.231684,0.19130666666666668,0.10245166666666668,0.13812133619119665,195,158130000.0,0.8520730850316234,0,2022,4,16,115640000.0,0.271342,95600000.0,0.2842268333333333,95910000.0,0.3304604230769231,122320000.0,0.3868065,98132500.0,0.2794283141025641
2022-05-01,158130000,15813000.0,22435788.894829024,4540000,77980000,5.6,10,3.0255555555555556,1.2946309374888592,178,0.2342906111111111,0.18310777777777779,0.09047083333333333,0.14756583250397343,178,111620000.0,-0.2941250869537722,1,2022,5,17,85380000.0,0.231684,115640000.0,0.271342,95600000.0,0.2842268333333333,95910000.0,0.3304604230769231,113687500.0,0.2553858611111111
2022-05-08,111620000,11162000.0,6565877.786793713,6290000,27530000,3.2,10,2.9280555555555554,1.4217350374685684,178,0.25387911111111106,0.17826277777777777,0.09491583333333334,0.10096896262041799,178,159230000.0,0.42653646299946246,0,2022,5,18,158130000.0,0.2342906111111111,85380000.0,0.231684,115640000.0,0.271342,95600000.0,0.2842268333333333,117692500.0,0.24779893055555557
2022-05-15,159230000,15923000.0,15167261.563424472,4650000,55940000,3.7,10,2.8697530864197534,1.4155924726319213,157,0.3054038888888889,0.1936388888888889,0.08695833333333332,0.14522807292329562,168,181520000.0,0.13998618350813288,0,2022,5,19,111620000.0,0.25387911111111106,158130000.0,0.2342906111111111,85380000.0,0.231684,115640000.0,0.271342,128590000.0,0.2563144027777778
2022-05-22,181520000,18152000.0,17568593.063254163,6080000,62420000,4.1,10,2.883641975308642,1.489126992238801,157,0.2647911111111111,0.2005722222222222,0.1063638888888889,0.10807507968262081,168,124250000.0,-0.3155024239753195,1,2022,5,20,159230000.0,0.3054038888888889,111620000.0,0.25387911111111106,158130000.0,0.2342906111111111,85380000.0,0.231684,152625000.0,0.2645911805555555
2022-05-29,124250000,12425000.0,9677840.955272801,4610000,32630000,3.8,10,3.616975308641975,1.3133789669933347,169,0.3628022222222222,0.22449444444444444,0.08663333333333334,0.16084663211763378,180,122450000.0,-0.01448692152917505,0,2022,5,21,181520000.0,0.2647911111111111,159230000.0,0.3054038888888889,111620000.0,0.25387911111111106,158130000.0,0.2342906111111111,144155000.0,0.2967190833333333
2022-06-05,122450000,12245000.0,8879614.919077916,4820000,35600000,3.7,10,3.337777777777778,1.3310179493747785,189,0.2721375,0.196675,0.100235,0.15388059380530367,200,182740000.0,0.49236423029808085,0,2022,6,22,124250000.0,0.3628022222222222,181520000.0,0.2647911111111111,159230000.0,0.3054038888888889,111620000.0,0.25387911111111106,146862500.0,0.30128368055555554
2022-06-12,182740000,18274000.0,25596436.470727716,5510000,84580000,4.1,10,3.4048830409356725,1.366835374114219,188,0.3497182368421053,0.2123163157894737,0.0790957894736842,0.15694413513029856,199,183880000.0,0.006238371456714457,0,2022,6,23,122450000.0,0.2721375,124250000.0,0.3628022222222222,181520000.0,0.2647911111111111,159230000.0,0.3054038888888889,152740000.0,0.31236226754385965
2022-06-19,183880000,18388000.0,16830013.401988458,4200000,57190000,4.4,10,3.3329385964912284,1.2913074443059265,177,0.3829887368421053,0.22602131578947365,0.07702578947368421,0.165409802794386,199,212830000.0,0.15743963454426801,0,2022,6,24,182740000.0,0.3497182368421053,122450000.0,0.2721375,124250000.0,0.3628022222222222,181520000.0,0.2647911111111111,153330000.0,0.3419116739766082
